time,siteID,range,range_rate
0.0000000000,1.0000000000,1031.3254684862,-6.3095259469
5.4005400540,1.0000000000,997.5379391312,-6.2024106294
10.8010801080,1.0000000000,964.3513255846,-6.0849357691
16.2016201620,1.0000000000,931.8324421978,-5.9558984958
21.6021602160,1.0000000000,900.0455734440,-5.8139315743
27.0027002700,1.0000000000,869.0630141238,-5.6575185983
32.4032403240,1.0000000000,838.9680171280,-5.4849224313
37.8037803780,1.0000000000,809.8513761606,-5.2943875483
43.2043204320,1.0000000000,781.8182758539,-5.0839077664
48.6048604860,1.0000000000,754.9808214067,-4.8514726773
54.0054005401,1.0000000000,729.4596712914,-4.5950608650
59.4059405941,1.0000000000,705.3956893824,-4.3126912903
64.8064806481,1.0000000000,682.9282626793,-4.0025559524
70.2070207021,1.0000000000,662.2147891825,-3.6632671302
75.6075607561,1.0000000000,643.4155240142,-3.2939351546
81.0081008101,1.0000000000,626.6911850041,-2.8945634914
86.4086408641,1.0000000000,612.2026963031,-2.4660761912
91.8091809181,1.0000000000,600.1034465487,-2.0106618321
97.2097209721,1.0000000000,590.5284988062,-1.5318488157
102.6102610261,1.0000000000,583.5911470665,-1.0345410044
108.0108010801,1.0000000000,579.3768178848,-0.5247697907
113.4113411341,1.0000000000,577.9320929186,-0.0094710480
118.8118811881,1.0000000000,579.2710042595,0.5039057223
124.2124212421,1.0000000000,583.3592094719,1.0081329094
129.6129612961,1.0000000000,590.1307236067,1.4965245596
135.0135013501,1.0000000000,599.4853316091,1.9633395278
140.4140414041,1.0000000000,611.2919191315,2.4041694245
145.8145814581,1.0000000000,625.4001493817,2.8159972698
151.2151215122,1.0000000000,641.6523195184,3.1970461437
156.6156615662,1.0000000000,659.8769398851,3.5467906797
162.0162016202,1.0000000000,679.9055480982,3.8656506154
167.4167416742,1.0000000000,701.5730478519,4.1547860101
172.8172817282,1.0000000000,724.7310263927,4.4158414056
178.2178217822,1.0000000000,749.2242524867,4.6507641706
183.6183618362,1.0000000000,774.9194003589,4.8616721919
189.0189018902,1.0000000000,801.6959290257,5.0506595883
194.4194419442,1.0000000000,829.4375521303,5.2198603097
199.8199819982,1.0000000000,858.0441594860,5.3712629493
205.2205220522,1.0000000000,887.4239863674,5.5066242146
210.6210621062,1.0000000000,917.4945967544,5.6277393543
216.0216021602,1.0000000000,948.1877859549,5.7360762939
221.4221422142,1.0000000000,979.4305041871,5.8330304169
226.8226822682,1.0000000000,1011.1703177418,5.9198304876
232.2232223222,1.0000000000,1043.3555104669,5.9975910934
237.6237623762,1.0000000000,1075.9378908411,6.0672588411
243.0243024302,1.0000000000,1108.8748713115,6.1297310592
248.4248424842,1.0000000000,1142.1325592001,6.1857122945
253.8253825383,1.0000000000,1175.6754759642,6.2359300191
259.2259225923,1.0000000000,1209.4798993912,6.2809792551
264.6264626463,1.0000000000,1243.5104204198,6.3213628092
270.0270027003,1.0000000000,1277.7495226345,6.3575536880
275.4275427543,1.0000000000,1312.1697897804,6.3899705301
280.8280828083,1.0000000000,1346.7612087259,6.4189934875
286.2286228623,1.0000000000,1381.4978384805,6.4449179266
291.6291629163,1.0000000000,1416.3666458744,6.4680726274
297.0297029703,1.0000000000,1451.3564078731,6.4886842314
302.4302430243,1.0000000000,1486.4472122937,6.5069645283
307.8307830783,1.0000000000,1521.6332644853,6.5231939900
313.2313231323,1.0000000000,1556.9007248100,6.5374535845
318.6318631863,1.0000000000,1592.2426238681,6.5499980385
324.0324032403,1.0000000000,1627.6473656296,6.5609605662
329.4329432943,1.0000000000,1663.1051160695,6.5704050704
